Grid_Number,hospital
891,1.0
892,1.0
926,0.0
927,3.0
961,0.0
962,5.0
996,1.0
997,0.0
1031,1.0
1032,1.0
1065,30.0
1066,2.0
1067,3.0
1174,8.0
1215,3.0
1245,5.0
1250,13.0
1281,6.0
1282,2.0
1283,1.0
1284,11.0
1285,8.0
1286,7.0
1287,1.0
1288,0.0
1289,2.0
1316,0.0
1317,0.0
1318,16.0
1319,9.0
1320,8.0
1321,11.0
1322,6.0
1323,10.0
1324,11.0
1352,0.0
1353,5.0
1354,27.0
1355,13.0
1356,15.0
1357,15.0
1358,22.0
1359,10.0
1360,2.0
1389,6.0
1390,18.0
1391,18.0
1392,10.0
1393,10.0
1394,4.0
1395,10.0
1396,2.0
1420,2.0
1421,4.0
1422,6.0
1423,9.0
1424,4.0
1425,28.0
1426,13.0
1427,10.0
1428,3.0
1430,12.0
1431,6.0
1454,23.0
1455,9.0
1456,21.0
1457,4.0
1458,13.0
1459,9.0
1460,11.0
1461,17.0
1462,21.0
1465,5.0
1489,7.0
1491,19.0
1492,10.0
1493,13.0
1494,15.0
1495,12.0
1496,3.0
1497,7.0
1498,0.0
1509,6.0
1524,2.0
1526,1.0
1527,10.0
1528,11.0
1529,9.0
1530,17.0
1531,7.0
1532,7.0
1533,3.0
1534,1.0
1535,7.0
1544,22.0
1562,10.0
1563,23.0
1564,13.0
1565,8.0
1567,6.0
1568,6.0
1569,2.0
1571,12.0
1597,8.0
1598,15.0
1599,5.0
1602,13.0
1603,11.0
1604,7.0
1605,4.0
1632,22.0
1635,6.0
1637,14.0
1638,14.0
1639,13.0
1667,8.0
1668,2.0
