Grid_Number,Health
0,3.0
1,1.0
2,0.0
3,0.0
4,0.0
5,0.0
6,3.0
7,5.0
8,0.0
9,0.0
10,1.0
11,1.0
12,1.0
13,8.0
14,1.0
15,0.0
16,4.0
17,0.0
18,0.0
19,8.0
20,2.0
21,0.0
22,4.0
23,1.0
24,0.0
25,12.0
26,11.0
27,14.0
28,28.0
29,10.0
30,30.0
31,18.0
32,18.0
33,16.0
34,9.0
35,1.0
36,2.0
37,1.0
38,36.0
39,27.0
40,40.0
41,45.0
42,1.0
43,2.0
44,14.0
45,29.0
46,23.0
47,50.0
48,21.0
49,23.0
50,17.0
51,34.0
52,36.0
53,24.0
54,20.0
55,0.0
56,1.0
57,4.0
58,45.0
59,23.0
60,41.0
61,14.0
62,8.0
63,12.0
64,3.0
65,17.0
66,30.0
67,39.0
68,15.0
69,6.0
70,22.0
71,31.0
72,8.0
73,7.0
74,8.0
75,0.0
76,5.0
77,29.0
78,19.0
79,32.0
80,42.0
81,39.0
82,26.0
83,23.0
84,44.0
85,24.0
86,34.0
87,2.0
88,18.0
89,52.0
90,30.0
91,46.0
92,26.0
93,48.0
94,3.0
95,3.0
96,18.0
97,28.0
98,17.0
99,23.0
100,7.0
101,6.0
102,31.0
103,30.0
104,19.0
105,31.0
106,10.0
107,20.0
108,36.0
109,28.0
110,11.0
111,11.0
112,22.0
113,0.0
114,0.0
115,5.0
116,46.0
117,35.0
118,2.0
119,4.0
120,12.0
121,65.0
122,26.0
123,27.0
124,27.0
125,27.0
126,16.0
127,22.0
128,45.0
129,3.0
130,40.0
131,31.0
132,0.0
133,3.0
134,9.0
135,5.0
136,29.0
137,3.0
138,7.0
139,5.0
140,26.0
141,41.0
142,20.0
143,23.0
144,17.0
145,23.0
146,25.0
147,38.0
148,9.0
149,39.0
150,9.0
151,0.0
152,24.0
153,49.0
154,5.0
155,11.0
156,9.0
157,27.0
158,15.0
159,18.0
160,17.0
161,22.0
162,24.0
163,20.0
164,28.0
165,25.0
166,31.0
167,19.0
168,40.0
169,15.0
170,1.0
171,16.0
172,41.0
173,38.0
174,41.0
175,39.0
176,70.0
177,12.0
178,23.0
179,32.0
180,17.0
181,26.0
182,43.0
183,38.0
184,34.0
185,37.0
186,4.0
187,15.0
188,23.0
189,4.0
190,1.0
191,5.0
192,16.0
193,31.0
194,37.0
195,18.0
196,8.0
197,63.0
198,31.0
199,27.0
200,7.0
201,9.0
202,18.0
203,23.0
204,34.0
205,15.0
206,14.0
207,11.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,4.0
215,7.0
216,23.0
217,51.0
218,42.0
219,60.0
220,44.0
221,7.0
222,55.0
223,23.0
224,11.0
225,12.0
226,12.0
227,1.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,1.0
238,2.0
239,2.0
240,2.0
241,11.0
242,38.0
243,20.0
244,60.0
245,22.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,1.0
261,13.0
262,19.0
263,38.0
264,28.0
265,1.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
