Grid_Number,Education
0,0.0
1,0.0
2,3.0
3,0.0
4,4.0
5,4.0
6,21.0
7,18.0
8,1.0
9,6.0
10,15.0
11,14.0
12,14.0
13,4.0
14,3.0
15,14.0
16,22.0
17,5.0
18,4.0
19,1.0
20,0.0
21,5.0
22,1.0
23,8.0
24,7.0
25,14.0
26,22.0
27,2.0
28,5.0
29,6.0
30,15.0
31,18.0
32,5.0
33,10.0
34,28.0
35,13.0
36,2.0
37,10.0
38,0.0
39,0.0
40,10.0
41,9.0
42,22.0
43,3.0
44,18.0
45,4.0
46,3.0
47,17.0
48,13.0
49,13.0
50,21.0
51,9.0
52,17.0
53,3.0
54,23.0
55,3.0
56,0.0
57,2.0
58,2.0
59,2.0
60,9.0
61,1.0
62,16.0
63,15.0
64,16.0
65,15.0
66,19.0
67,18.0
68,17.0
69,15.0
70,7.0
71,16.0
72,9.0
73,24.0
74,4.0
75,4.0
76,0.0
77,10.0
78,3.0
79,14.0
80,11.0
81,28.0
82,8.0
83,25.0
84,7.0
85,8.0
86,10.0
87,9.0
88,5.0
89,6.0
90,23.0
91,8.0
92,31.0
93,7.0
94,13.0
95,6.0
96,9.0
97,3.0
98,18.0
99,11.0
100,16.0
101,10.0
102,10.0
103,17.0
104,13.0
105,11.0
106,12.0
107,12.0
108,20.0
109,27.0
110,15.0
111,13.0
112,4.0
113,0.0
114,8.0
115,18.0
116,18.0
117,10.0
118,7.0
119,1.0
120,19.0
121,7.0
122,12.0
123,14.0
124,31.0
125,13.0
126,9.0
127,5.0
128,27.0
129,23.0
130,22.0
131,5.0
132,0.0
133,0.0
134,1.0
135,10.0
136,19.0
137,17.0
138,21.0
139,20.0
140,15.0
141,13.0
142,8.0
143,20.0
144,12.0
145,15.0
146,30.0
147,13.0
148,18.0
149,18.0
150,15.0
151,4.0
152,14.0
153,19.0
154,23.0
155,9.0
156,14.0
157,14.0
158,14.0
159,16.0
160,17.0
161,18.0
162,9.0
163,9.0
164,39.0
165,9.0
166,3.0
167,22.0
168,0.0
169,13.0
170,0.0
171,15.0
172,17.0
173,6.0
174,14.0
175,14.0
176,19.0
177,29.0
178,17.0
179,12.0
180,16.0
181,30.0
182,10.0
183,3.0
184,3.0
185,5.0
186,23.0
187,9.0
188,31.0
189,18.0
190,13.0
191,18.0
192,11.0
193,7.0
194,16.0
195,20.0
196,17.0
197,19.0
198,14.0
199,21.0
200,11.0
201,33.0
202,15.0
203,3.0
204,14.0
205,18.0
206,6.0
207,13.0
208,23.0
209,8.0
210,8.0
211,14.0
212,19.0
213,10.0
214,13.0
215,9.0
216,15.0
217,12.0
218,16.0
219,14.0
220,16.0
221,25.0
222,16.0
223,18.0
224,8.0
225,13.0
226,15.0
227,18.0
228,4.0
229,9.0
230,6.0
231,0.0
232,1.0
233,34.0
234,18.0
235,17.0
236,15.0
237,5.0
238,18.0
239,17.0
240,18.0
241,9.0
242,8.0
243,14.0
244,31.0
245,15.0
246,21.0
247,0.0
248,6.0
249,19.0
250,18.0
251,2.0
252,7.0
253,10.0
254,10.0
255,22.0
256,11.0
257,19.0
258,21.0
259,13.0
260,15.0
261,5.0
262,16.0
263,4.0
264,0.0
265,16.0
266,1.0
267,33.0
268,11.0
269,28.0
270,2.0
271,10.0
272,7.0
273,24.0
274,11.0
275,11.0
276,13.0
277,1.0
278,7.0
279,13.0
280,7.0
281,13.0
282,4.0
283,0.0
284,11.0
285,8.0
286,14.0
287,9.0
288,11.0
289,13.0
290,18.0
291,11.0
292,13.0
293,5.0
294,3.0
295,31.0
296,4.0
297,2.0
298,22.0
299,6.0
300,18.0
301,28.0
302,15.0
303,12.0
