Grid_Number,Government_Facilities
0,1.0
1,0.0
2,0.0
3,1.0
4,2.0
5,0.0
6,2.0
7,4.0
8,0.0
9,0.0
10,1.0
11,5.0
12,1.0
13,1.0
14,4.0
15,19.0
16,9.0
17,1.0
18,6.0
19,0.0
20,0.0
21,0.0
22,4.0
23,2.0
24,0.0
25,1.0
26,3.0
27,1.0
28,0.0
29,0.0
30,4.0
31,5.0
32,0.0
33,8.0
34,10.0
35,4.0
36,0.0
37,3.0
38,1.0
39,0.0
40,7.0
41,6.0
42,3.0
43,0.0
44,0.0
45,1.0
46,1.0
47,0.0
48,5.0
49,14.0
50,3.0
51,10.0
52,6.0
53,3.0
54,5.0
55,2.0
56,0.0
57,0.0
58,0.0
59,0.0
60,4.0
61,2.0
62,1.0
63,1.0
64,0.0
65,7.0
66,0.0
67,3.0
68,6.0
69,6.0
70,8.0
71,10.0
72,4.0
73,9.0
74,1.0
75,6.0
76,0.0
77,1.0
78,1.0
79,4.0
80,1.0
81,4.0
82,5.0
83,8.0
84,6.0
85,8.0
86,9.0
87,3.0
88,10.0
89,14.0
90,8.0
91,11.0
92,13.0
93,15.0
94,18.0
95,1.0
96,1.0
97,1.0
98,3.0
99,7.0
100,1.0
101,1.0
102,4.0
103,4.0
104,6.0
105,20.0
106,5.0
107,17.0
108,18.0
109,10.0
110,13.0
111,5.0
112,2.0
113,1.0
114,3.0
115,2.0
116,5.0
117,2.0
118,0.0
119,1.0
120,3.0
121,4.0
122,10.0
123,8.0
124,22.0
125,10.0
126,14.0
127,15.0
128,39.0
129,25.0
130,12.0
131,9.0
132,0.0
133,0.0
134,0.0
135,1.0
136,3.0
137,4.0
138,3.0
139,5.0
140,3.0
141,7.0
142,7.0
143,20.0
144,33.0
145,28.0
146,29.0
147,17.0
148,3.0
149,2.0
150,15.0
151,0.0
152,0.0
153,4.0
154,0.0
155,6.0
156,5.0
157,9.0
158,4.0
159,12.0
160,11.0
161,11.0
162,12.0
163,30.0
164,26.0
165,17.0
166,2.0
167,26.0
168,0.0
169,1.0
170,0.0
171,0.0
172,2.0
173,0.0
174,1.0
175,3.0
176,7.0
177,15.0
178,33.0
179,25.0
180,48.0
181,28.0
182,41.0
183,6.0
184,2.0
185,3.0
186,26.0
187,0.0
188,8.0
189,3.0
190,0.0
191,0.0
192,3.0
193,0.0
194,3.0
195,1.0
196,5.0
197,5.0
198,12.0
199,26.0
200,25.0
201,23.0
202,9.0
203,9.0
204,29.0
205,20.0
206,5.0
207,6.0
208,3.0
209,1.0
210,0.0
211,1.0
212,3.0
213,2.0
214,5.0
215,7.0
216,5.0
217,20.0
218,12.0
219,19.0
220,18.0
221,12.0
222,14.0
223,15.0
224,15.0
225,6.0
226,12.0
227,2.0
228,0.0
229,0.0
230,1.0
231,0.0
232,3.0
233,18.0
234,10.0
235,8.0
236,16.0
237,5.0
238,9.0
239,9.0
240,14.0
241,19.0
242,19.0
243,20.0
244,15.0
245,9.0
246,7.0
247,0.0
248,0.0
249,7.0
250,3.0
251,2.0
252,5.0
253,5.0
254,6.0
255,14.0
256,17.0
257,13.0
258,15.0
259,5.0
260,13.0
261,6.0
262,6.0
263,2.0
264,1.0
265,6.0
266,0.0
267,6.0
268,2.0
269,8.0
270,1.0
271,10.0
272,7.0
273,42.0
274,2.0
275,9.0
276,10.0
277,0.0
278,4.0
279,4.0
280,4.0
281,6.0
282,3.0
283,0.0
284,0.0
285,0.0
286,2.0
287,5.0
288,0.0
289,4.0
290,4.0
291,7.0
292,22.0
293,13.0
294,2.0
295,13.0
296,2.0
297,0.0
298,15.0
299,5.0
300,9.0
301,14.0
302,7.0
303,4.0
